"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::1","::1","TCP","94","43610  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131617300 TSecr=0 WS=128"
"2","0.000018","::1","::1","TCP","94","80  >  43610 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131617300 TSecr=1131617300 WS=128"
"3","0.000033","::1","::1","TCP","86","43610  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131617300 TSecr=1131617300"
"4","0.000072","::1","::1","HTTP","218","GET / HTTP/1.1 "
"5","0.000108","::1","::1","TCP","86","80  >  43610 [ACK] Seq=1 Ack=133 Win=65408 Len=0 TSval=1131617300 TSecr=1131617300"
"6","0.000406","::1","::1","HTTP","579","HTTP/1.1 200 OK  (text/html)"
"7","0.000421","::1","::1","TCP","86","43610  >  80 [ACK] Seq=133 Ack=494 Win=65152 Len=0 TSval=1131617301 TSecr=1131617301"
"8","0.000562","::1","::1","TCP","86","43610  >  80 [FIN, ACK] Seq=133 Ack=494 Win=65536 Len=0 TSval=1131617301 TSecr=1131617301"
"9","0.000620","::1","::1","TCP","86","80  >  43610 [FIN, ACK] Seq=494 Ack=134 Win=65536 Len=0 TSval=1131617301 TSecr=1131617301"
"10","0.000636","::1","::1","TCP","86","43610  >  80 [ACK] Seq=134 Ack=495 Win=65536 Len=0 TSval=1131617301 TSecr=1131617301"
"11","2.013997","::1","::1","TCP","94","43622  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131619314 TSecr=0 WS=128"
"12","2.014013","::1","::1","TCP","94","80  >  43622 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131619314 TSecr=1131619314 WS=128"
"13","2.014027","::1","::1","TCP","86","43622  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131619314 TSecr=1131619314"
"14","2.014059","::1","::1","HTTP","223","GET / HTTP/1.1 "
"15","2.014093","::1","::1","TCP","86","80  >  43622 [ACK] Seq=1 Ack=138 Win=65408 Len=0 TSval=1131619314 TSecr=1131619314"
"16","2.014401","::1","::1","HTTP","579","HTTP/1.1 200 OK  (text/html)"
"17","2.014414","::1","::1","TCP","86","43622  >  80 [ACK] Seq=138 Ack=494 Win=65152 Len=0 TSval=1131619315 TSecr=1131619315"
"18","2.014511","::1","::1","TCP","86","43622  >  80 [FIN, ACK] Seq=138 Ack=494 Win=65536 Len=0 TSval=1131619315 TSecr=1131619315"
"19","2.014554","::1","::1","TCP","86","80  >  43622 [FIN, ACK] Seq=494 Ack=139 Win=65536 Len=0 TSval=1131619315 TSecr=1131619315"
"20","2.014569","::1","::1","TCP","86","43622  >  80 [ACK] Seq=139 Ack=495 Win=65536 Len=0 TSval=1131619315 TSecr=1131619315"
"21","6.029138","::1","::1","TCP","94","43634  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131623329 TSecr=0 WS=128"
"22","6.029155","::1","::1","TCP","94","80  >  43634 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131623329 TSecr=1131623329 WS=128"
"23","6.029169","::1","::1","TCP","86","43634  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131623329 TSecr=1131623329"
"24","6.029203","::1","::1","HTTP","269","GET /robots.txt HTTP/1.1 "
"25","6.029236","::1","::1","TCP","86","80  >  43634 [ACK] Seq=1 Ack=184 Win=65408 Len=0 TSval=1131623329 TSecr=1131623329"
"26","6.029516","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"27","6.029531","::1","::1","TCP","86","43634  >  80 [ACK] Seq=184 Ack=433 Win=65152 Len=0 TSval=1131623330 TSecr=1131623330"
"28","6.029647","::1","::1","TCP","86","43634  >  80 [FIN, ACK] Seq=184 Ack=433 Win=65536 Len=0 TSval=1131623330 TSecr=1131623330"
"29","6.029725","::1","::1","TCP","86","80  >  43634 [FIN, ACK] Seq=433 Ack=185 Win=65536 Len=0 TSval=1131623330 TSecr=1131623330"
"30","6.029743","::1","::1","TCP","86","43634  >  80 [ACK] Seq=185 Ack=434 Win=65536 Len=0 TSval=1131623330 TSecr=1131623330"
"31","6.102797","127.0.0.1","127.0.0.1","HTTP","430","GET /metrics HTTP/1.1 "
"32","6.106095","127.0.0.1","127.0.0.1","HTTP","3848","HTTP/1.1 200 OK  (text/plain)"
"33","6.106115","127.0.0.1","127.0.0.1","TCP","66","45674  >  20201 [ACK] Seq=365 Ack=3783 Win=493 Len=0 TSval=2286952994 TSecr=2286952994"
"34","6.547581","127.0.0.1","127.0.0.1","TCP","66","20202  >  41162 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0 TSval=2286953436 TSecr=2286927169"
"35","6.547874","127.0.0.1","127.0.0.1","TCP","66","41162  >  20202 [FIN, ACK] Seq=1 Ack=2 Win=512 Len=0 TSval=2286953436 TSecr=2286953436"
"36","6.547925","127.0.0.1","127.0.0.1","TCP","66","20202  >  41162 [ACK] Seq=2 Ack=2 Win=512 Len=0 TSval=2286953436 TSecr=2286953436"
"37","8.045582","::1","::1","TCP","94","43646  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131625346 TSecr=0 WS=128"
"38","8.045599","::1","::1","TCP","94","80  >  43646 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131625346 TSecr=1131625346 WS=128"
"39","8.045613","::1","::1","TCP","86","43646  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131625346 TSecr=1131625346"
"40","8.045647","::1","::1","HTTP","271","GET /admin/ HTTP/1.1 "
"41","8.045681","::1","::1","TCP","86","80  >  43646 [ACK] Seq=1 Ack=186 Win=65280 Len=0 TSval=1131625346 TSecr=1131625346"
"42","8.046154","::1","::1","HTTP","993","HTTP/1.1 200 OK  (text/html)"
"43","8.046172","::1","::1","TCP","86","43646  >  80 [ACK] Seq=186 Ack=908 Win=64640 Len=0 TSval=1131625346 TSecr=1131625346"
"44","8.046285","::1","::1","TCP","86","43646  >  80 [FIN, ACK] Seq=186 Ack=908 Win=65536 Len=0 TSval=1131625346 TSecr=1131625346"
"45","8.046331","::1","::1","TCP","86","80  >  43646 [FIN, ACK] Seq=908 Ack=187 Win=65536 Len=0 TSval=1131625346 TSecr=1131625346"
"46","8.046346","::1","::1","TCP","86","43646  >  80 [ACK] Seq=187 Ack=909 Win=65536 Len=0 TSval=1131625346 TSecr=1131625346"
"47","11.060655","::1","::1","TCP","94","33162  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131628361 TSecr=0 WS=128"
"48","11.060672","::1","::1","TCP","94","80  >  33162 [SYN, ACK] Seq=0 Ack=1 Win=65464 Len=0 MSS=65476 SACK_PERM TSval=1131628361 TSecr=1131628361 WS=128"
"49","11.060687","::1","::1","TCP","86","33162  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1131628361 TSecr=1131628361"
"50","11.060721","::1","::1","HTTP","250","GET /administrator/ HTTP/1.1 "
"51","11.060755","::1","::1","TCP","86","80  >  33162 [ACK] Seq=1 Ack=165 Win=65408 Len=0 TSval=1131628361 TSecr=1131628361"
"52","11.061023","::1","::1","HTTP","518","HTTP/1.1 404 Not Found  (text/html)"
"53","11.061038","::1","::1","TCP","86","33162  >  80 [ACK] Seq=165 Ack=433 Win=65152 Len=0 TSval=1131628361 TSecr=1131628361"
"54","11.061396","::1","::1","TCP","86","33162  >  80 [FIN, ACK] Seq=165 Ack=433 Win=65536 Len=0 TSval=1131628362 TSecr=1131628361"
"55","11.061526","::1","::1","TCP","86","80  >  33162 [FIN, ACK] Seq=433 Ack=166 Win=65536 Len=0 TSval=1131628362 TSecr=1131628362"
"56","11.061555","::1","::1","TCP","86","33162  >  80 [ACK] Seq=166 Ack=434 Win=65536 Len=0 TSval=1131628362 TSecr=1131628362"
"57","13.075515","::1","::1","TCP","94","33170  >  80 [SYN] Seq=0 Win=65476 Len=0 MSS=65476 SACK_PERM TSval=1131630376 TSecr=0 WS=128"
